F_0_26;F_0_52;Fe1_Nietlaenge;Fe4_Vorspannkraft;Fe7_Gesamtlaenge;Fe8_Niethaerte;Winkel_0;Winkel_90;Winkel_180;Winkel_270;Kippkanten0_180;Kippkanten 90- 270;mean Kippkante;Variante
445;568;16,39;1,9;14,22;6,57;1,26;1,59;1,11;1,61;6,28;6,26;6,27;Argentinien
427;542;16,39;1,9;14,27;6,64;1,37;1;1,51;1,66;6,25;6,27;6,26;Argentinien
455;578;16,39;1,88;14,22;6,6;1,31;1,35;1,14;1,24;6,31;6,26;6,28;Argentinien
492;609;16,4;1,87;14,24;6,58;1,21;0,88;1,48;1,7;6,27;6,29;6,28;Argentinien
417;540;16,39;1,88;14,25;6,64;2,07;1,42;1,63;1,49;6,28;6,27;6,28;Argentinien
486;617;16,4;1,92;14,15;6,06;1,82;1,53;1,43;1,58;6,3;6,33;6,31;China
495;619;16,44;1,92;14,2;6,08;1,91;1,04;1,26;1,71;6,29;6,32;6,31;China
471;608;16,33;1,89;14,15;2,61;0,87;1,48;2,07;1,89;6,38;6,35;6,36;China
480;607;16,42;1,88;14,19;6,14;1,89;1,49;1,69;1,52;6,3;6,35;6,33;China
480;610;16,35;1,87;14,18;2,3;1,61;1,17;1,9;1,34;6,35;6,4;6,37;China
475;606;16,37;1,88;14,14;3,38;1,34;1,91;1,13;0,98;6,34;6,36;6,35;Eitorf
458;589;16,46;1,88;14,17;6,2;1,74;1,26;1,13;1,37;6,38;6,33;6,36;Eitorf
467;596;16,37;1,88;14,13;6,17;1,21;1,43;1,43;1,42;6,32;6,31;6,32;Eitorf
448;580;16,4;1,88;14,15;6,29;1,31;1,18;1,66;1,92;6,32;6,34;6,33;Eitorf
456;583;16,35;1,86;14,14;2,12;1,18;1,37;1,03;1,61;6,37;6,34;6,35;Eitorf
484;604;16,46;1,91;14,24;6,75;1,27;1,4;1,54;1,51;6,24;6,21;6,22;Korea
506;627;16,42;1,87;14,19;6,29;0,95;1,03;1,76;1,52;6,29;6,26;6,27;Korea
454;571;16,4;1,91;14,24;6,86;1,41;1,56;1,63;1,78;6,18;6,18;6,18;Korea
497;614;16,44;1,86;14,23;6,61;1,44;1,44;1,38;1,3;6,18;6,21;6,2;Korea
458;574;16,46;1,91;14,23;6,8;1,76;1,46;1,41;1,43;6,19;6,18;6,19;Korea
479;610;16,39;1,87;14,13;6,06;1,25;1,25;1,66;1,58;6,31;6,33;6,32;Mexico
477;608;16,39;1,86;14,15;6,25;1,14;1,37;1,68;1,2;6,32;6,34;6,33;Mexico
482;612;16,42;1,89;14,15;6,11;1,23;1,23;1,27;1,18;6,32;6,32;6,32;Mexico
503;637;16,49;1,86;14,13;5,91;1,2;1,05;1,05;1,08;6,34;6,32;6,33;Mexico
471;604;16,44;1,88;14,16;6;1,33;1,64;1,21;1,25;6,36;6,34;6,35;Mexico
469;595;16,44;2,01;14,22;;2;0,94;0,93;0,91;6,22;6,22;6,22;SCW
471;601;16,35;1,94;14,22;2;1,43;1,66;1,49;0,72;6,23;6,25;6,24;SCW
487;613;16,39;1,96;14,2;3,35;1,28;1,5;1,54;1,09;6,33;6,25;6,29;SCW
467;592;16,44;1,92;14,21;7,01;1,15;1,15;1,23;1,31;6,22;6,2;6,21;SCW
453;573;16,44;1,88;14,24;7,29;1,38;0,89;1,1;1,13;6,24;6,23;6,23;SCW
478;605;16,39;1,92;14,16;6;0,93;1,44;1,66;1,16;6,35;6,38;6,36;Tuerkei
470;595;16,4;1,86;14,15;5,99;1,68;1,49;0,77;0,88;6,38;6,38;6,38;Tuerkei
481;602;16,39;1,88;14,17;6,1;1,57;1,03;1,35;1,39;6,36;6,35;6,35;Tuerkei
466;598;16,42;1,9;14,16;6,03;1,21;1,27;2,05;1,27;6,38;6,36;6,37;Tuerkei
515;641;16,37;1,9;14,17;3,54;1,2;1,04;1,17;1,32;6,38;6,38;6,38;Tuerkei
479;609;16,28;1,92;14,13;1,83;1,46;1,52;1,33;1,19;6,33;6,38;6,36;USA_1
492;633;16,28;1,9;14,08;1,84;0,99;1,1;1,52;1,49;6,39;6,38;6,39;USA_1
458;589;16,35;1,91;14,18;2,78;1,09;1,31;1,59;1,36;6,37;6,33;6,35;USA_1
478;610;16,26;1,88;14,15;1,84;1,4;1,55;1,12;1,16;6,35;6,36;6,35;USA_1
472;602;16,44;1,88;14,15;6,26;1,85;1,25;1,3;1,54;6,31;6,3;6,3;USA_1
441;569;16,35;1,93;14,17;2,74;1,08;1,14;1,87;1,64;6,32;6,35;6,34;USA_2
468;604;16,37;1,88;14,18;3,53;1,67;1,13;1,35;1,47;6,32;6,32;6,32;USA_2
473;606;16,4;1,89;14,17;6,39;1,33;1,15;1,21;1,83;6,33;6,32;6,32;USA_2
472;602;16,39;1,87;14,15;6,15;1,63;1,59;1,28;1,61;6,33;6,34;6,33;USA_2
463;595;16,37;1,89;14,18;6,45;1,08;1,33;1,65;1,64;6,33;6,33;6,33;USA_2
456;590;16,39;1,99;14,11;6,15;1,5;1,27;1,17;1,54;6,31;6,31;6,31;4911920010
460;591;16,42;1,95;14,15;6,17;1,36;1,24;1,33;1,37;6,3;6,34;6,32;4911920010
466;608;16,47;1,91;14,15;6,15;1,92;1,59;1,32;1,29;6,3;6,34;6,32;4911920010
478;612;16,42;1,93;14,14;6,12;1,08;1,49;1,21;1,23;6,33;6,29;6,31;4911920010
477;616;16,39;1,92;14,15;;1,21;1,86;1,5;0,8;6,34;6,34;6,34;4911920010
468;595;16,42;1,89;14,13;6,31;1,08;1,47;1,98;1,01;6,32;6,31;6,31;4911920010
462;590;16,51;1,89;14,13;6,09;1,06;1,37;1,58;1,06;6,26;6,29;6,27;4911920010
433;572;16,42;1,87;14,15;6,21;1,31;1,76;1,58;1,88;6,3;6,28;6,29;4911920010
456;590;16,37;1,88;14,14;6,13;0,83;1,68;1,39;0,83;6,29;6,3;6,29;4911920010
442;581;16,42;1,89;14,15;6,24;1,49;1,9;1,7;1,33;6,31;6,31;6,31;4911920010
